c,r,lam,k3,k4,twice_lam,j,pr930_wall,removed_width,support_floor
389,63212,28508,96650,99185,57016,99185,135220,36035,172039
390,63211,28507,96649,99183,57014,99183,135215,36032,172037
391,63210,28506,96647,99181,57012,99181,135210,36029,172036
392,63209,28505,96645,99179,57010,99179,135205,36026,172034
393,63208,28504,96643,99177,57008,99177,135200,36023,172033
394,63207,28503,96642,99175,57006,99175,135195,36020,172031
395,63206,28502,96640,99172,57004,99172,135190,36018,172030
396,63205,28501,96638,99170,57002,99170,135185,36015,172029
397,63204,28500,96637,99168,57000,99168,135180,36012,172027
398,63203,28499,96635,99166,56998,99166,135175,36009,172026
399,63202,28498,96633,99164,56996,99164,135170,36006,172024
400,63201,28497,96632,99162,56994,99162,135165,36003,172023
401,63200,28496,96630,99160,56992,99160,135160,36000,172021
402,63199,28495,96628,99158,56990,99158,135155,35997,172020
403,63198,28494,96627,99156,56988,99156,135150,35994,172018
404,63197,28493,96625,99154,56986,99154,135145,35991,172017
405,63196,28492,96623,99152,56984,99152,135140,35988,172015
406,63195,28491,96621,99149,56982,99149,135135,35986,172014
407,63194,28490,96620,99147,56980,99147,135130,35983,172013
408,63193,28489,96618,99145,56978,99145,135125,35980,172011
409,63192,28488,96616,99143,56976,99143,135120,35977,172010
410,63191,28487,96615,99141,56974,99141,135115,35974,172008
411,63190,28486,96613,99139,56972,99139,135110,35971,172007
412,63189,28485,96611,99137,56970,99137,135105,35968,172005
413,63188,28484,96610,99135,56968,99135,135100,35965,172004
414,63187,28483,96608,99133,56966,99133,135095,35962,172002
415,63186,28482,96606,99131,56964,99131,135090,35959,172001
416,63185,28481,96604,99129,56962,99129,135085,35956,171999
417,63184,28480,96603,99126,56960,99126,135080,35954,171998
418,63183,28479,96601,99124,56958,99124,135075,35951,171997
419,63182,28478,96599,99122,56956,99122,135070,35948,171995
420,63181,28477,96598,99120,56954,99120,135065,35945,171994
421,63180,28476,96596,99118,56952,99118,135060,35942,171992
422,63179,28475,96594,99116,56950,99116,135055,35939,171991
423,63178,28474,96593,99114,56948,99114,135050,35936,171989
424,63177,28473,96591,99112,56946,99112,135045,35933,171988
425,63176,28472,96589,99110,56944,99110,135040,35930,171986
426,63175,28471,96588,99108,56942,99108,135035,35927,171985
427,63174,28470,96586,99106,56940,99106,135030,35924,171983
428,63173,28469,96584,99103,56938,99103,135025,35922,171982
429,63172,28468,96582,99101,56936,99101,135020,35919,171981
430,63171,28467,96581,99099,56934,99099,135015,35916,171979
431,63170,28466,96579,99097,56932,99097,135010,35913,171978
432,63169,28465,96577,99095,56930,99095,135005,35910,171976
433,63168,28464,96576,99093,56928,99093,135000,35907,171975
434,63167,28463,96574,99091,56926,99091,134995,35904,171973
435,63166,28462,96572,99089,56924,99089,134990,35901,171972
436,63165,28461,96571,99087,56922,99087,134985,35898,171970
437,63164,28460,96569,99085,56920,99085,134980,35895,171969
438,63163,28459,96567,99083,56918,99083,134975,35892,171967
439,63162,28458,96565,99080,56916,99080,134970,35890,171966
440,63161,28457,96564,99078,56914,99078,134965,35887,171965
441,63160,28456,96562,99076,56912,99076,134960,35884,171963
442,63159,28455,96560,99074,56910,99074,134955,35881,171962
443,63158,28454,96559,99072,56908,99072,134950,35878,171960
444,63157,28453,96557,99070,56906,99070,134945,35875,171959
445,63156,28452,96555,99068,56904,99068,134940,35872,171957
446,63155,28451,96554,99066,56902,99066,134935,35869,171956
447,63154,28450,96552,99064,56900,99064,134930,35866,171954
448,63153,28449,96550,99062,56898,99062,134925,35863,171953
449,63152,28448,96549,99060,56896,99060,134920,35860,171951
450,63151,28447,96547,99058,56894,99058,134915,35857,171950
451,63150,28446,96545,99055,56892,99055,134910,35855,171949
452,63149,28445,96543,99053,56890,99053,134905,35852,171947
453,63148,28444,96542,99051,56888,99051,134900,35849,171946
454,63147,28443,96540,99049,56886,99049,134895,35846,171944
455,63146,28442,96538,99047,56884,99047,134890,35843,171943
456,63145,28441,96537,99045,56882,99045,134885,35840,171941
457,63144,28440,96535,99043,56880,99043,134880,35837,171940
458,63143,28439,96533,99041,56878,99041,134875,35834,171938
459,63142,28438,96532,99039,56876,99039,134870,35831,171937
460,63141,28437,96530,99037,56874,99037,134865,35828,171935
461,63140,28436,96528,99035,56872,99035,134860,35825,171934
462,63139,28435,96526,99032,56870,99032,134855,35823,171933
463,63138,28434,96525,99030,56868,99030,134850,35820,171931
464,63137,28433,96523,99028,56866,99028,134845,35817,171930
465,63136,28432,96521,99026,56864,99026,134840,35814,171928
466,63135,28431,96520,99024,56862,99024,134835,35811,171927
467,63134,28430,96518,99022,56860,99022,134830,35808,171925
468,63133,28429,96516,99020,56858,99020,134825,35805,171924
469,63132,28428,96515,99018,56856,99018,134820,35802,171922
470,63131,28427,96513,99016,56854,99016,134815,35799,171921
